field_0,dust,type,project,description,installs,links
3980,1553,O,slhist,create and manipulate histograms from S-Lang,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748263
3981,1814,O,slib,Portable Scheme library,602,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=721062
3982,137,RFP,slick-greeter-se[..],A graphical tool for manipulating the settings of slick-[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=894503
3983,1682,RFP,slidelint,tool that reads in PDF of presentation slides and checks[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=734343
3984,541,O,slides,Python-based Slide Maker,23,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=855642
3985,142,RFP,slideshow,HTML slide show and image presentation generator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=669900
3986,1853,RFP,slowmovideo,slowmoVideo is an OpenSource program that creates slow-m[..],34,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=717369
3987,1553,O,slpvm,PVM (Parallel Virtual Machine) interface for S-Lang,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748264
3988,1553,O,slsqlite,S-Lang bindings to the sqlite3 database library,17,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748265
3989,52,RFP,sltd,"Multiple daemon for slt, the TLS reverse-proxy with SNI [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=867023
3990,1553,O,slwildcard,adds a wildcard match function to S-Lang,14,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748269
3991,1553,O,slxfig,produce plots and drawings through Xfig's fig2dev in S-Lang,39,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748270
3992,289,O,sm-archive,A milter for archiving email,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=880151
3993,1481,RFP,smake,A portable make program,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=691972
3994,639,RFP,SmallBASIC,fast and easy to learn BASIC language interpreter.,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844314
3995,758,O,smbldap-tools,Scripts to manage Unix and Samba accounts stored on LDAP,1309,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831723
3996,668,RFP,smc-java,State Machine Compiler,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792322
3997,30,RFP,smith,fonts and keyboards build and test framework,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=860155
3998,700,O,smlnj,Standard ML of New Jersey interactive compiler,200,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=837735
3999,177,RFH,smokeping,latency logging and graphing system,832,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824712
4000,342,RFP,smoviecat,"scan for movies, query imdb and generate a catalog",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=822326
4001,1353,RFP,snack-sndfile-ext,libsndfile snack plugin,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=677385
4002,1353,RFP,snap-byob,ITP: snap-byob -- A block-based drag-and-drop programmin[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=727644
4003,169,RFP,snap-telemetry,The open telemetry framework,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844786
4004,172,RFP,snap-telemetry-p[..],Plugins for snap-telemetry to enhance and extend its cap[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845131
4005,2726,O,snappea,development files for SnapPea hyperbolic 3-manifold tool,262,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=615576
4006,949,O,snarf,A command-line URL grabber,70,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726249
4007,127,RFP,sncosmo,SNCosmo is a Python library for high-level supervova cos[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=757096
4008,1286,RFP,snf-image-creator,OS image creation tool,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=777213
4009,303,O,snmp-mibs-downloader,Install and manage Management Information Base (MIB) files,4683,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=878723
4010,962,RFP,snmp4nagios,SNMP Nagios plugins,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=744126
4011,303,O,snmptrapfmt,A configurable snmp trap handler daemon for snmpd,153,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=878721
4012,1542,RFA,snmptt,SNMP trap handler for use with snmptrapd,394,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=749419
4013,321,O,sntop,A curses-based utility that polls hosts to determine con[..],191,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=877100
4014,133,RFP,snuffleupagus,Security module for php7 - Killing bugclasses and virtua[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=894821
4015,711,O,sockjs-client,WebSocket emulation - Javascript client,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836492
4016,722,RFP,sockjs-twisted,Simple library for adding SockJS support to a twisted ap[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=735154
4017,2674,O,socks4-server,SOCKS4 server for proxying IP-based services over a firewall,25,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=485646
4018,563,O,socnetv,social network analysis and visualisation application,35,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=853048
4019,85,RFP,softether,multiprotocol virtual private network daemon,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=757746
4020,648,RFP,softiwarp-kernel,Soft-iWARP kernel module implementing iWARP on top of tc[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=674905
4021,538,RFP,solarus,Open-source Zelda-like game engine,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=758195
4022,733,O,solfege,Ear training software (duplicate),518,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=762445
4023,733,O,solfege,Ear training software (duplicate),518,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=762451
4024,1233,RFP,solid3d,Software library for collision detection of geometric ob[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=500616
4025,605,RFP,sortable,JavaScript library for reorderable drag-and-drop lists o[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=848539
