Centro;Material;Descri‡Æo do Material;C¢digo SKF;tt;;
0002;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0004;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0009;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0017;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0022;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0175;123790;ROL GRAE 50 NPPB (G210V22+ER);YET 210;YET 210123790;;
0002;48681;ROL YET 209;YET 209;YET 20948681;;
0004;48681;ROL YET 209;YET 209;YET 20948681;;
0009;48681;ROL YET 209;YET 209;YET 20948681;;
0014;48681;ROL YET 209;YET 209;YET 20948681;;
0017;48681;ROL YET 209;YET 209;YET 20948681;;
0022;48681;ROL YET 209;YET 209;YET 20948681;;
0024;48681;ROL YET 209;YET 209;YET 20948681;;
0026;48681;ROL YET 209;YET 209;YET 20948681;;
0029;48681;ROL YET 209;YET 209;YET 20948681;;
0031;48681;ROL YET 209;YET 209;YET 20948681;;
0032;48681;ROL YET 209;YET 209;YET 20948681;;
0188;322098;ROLAMENTO YA YET 209;YET 209;YET 209322098;;
0187;326776;ROLAMENTO GE 45UK 2RS ELGES;YET 209;YET 209326776;;
0188;326776;ROLAMENTO GE 45UK 2RS ELGES;YET 209;YET 209326776;;
0029;140468;ROL GRAE 1.1/2 208 V22;YET 208-108;YET 208-108140468;;
0002;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0004;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0009;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0014;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0017;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0020;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0022;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0024;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0026;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0029;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0031;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0032;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0145;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0187;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0188;3533;ROL GRAE 40 208 V22 + ER;YET 208;YET 2083533;;
0002;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0004;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0009;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0014;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0017;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0020;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0022;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0024;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0026;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0029;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0031;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0032;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0145;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0186;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0187;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0188;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0189;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0190;4345;ROL GRA 208-V22;YET 208;YET 2084345;;
0002;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0004;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0009;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0014;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0017;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0024;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0026;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0031;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0032;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0145;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0186;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0187;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0188;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0189;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0190;311820;Rolamento Ya Yet208;YET 208;YET 208311820;;
0190;315111;Rolamento RB GRA 208;YET 208;YET 208315111;;
0187;316514;Rolamento Es Grae 40;YET 208;YET 208316514;;
0189;316514;Rolamento Es Grae 40;YET 208;YET 208316514;;
0002;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0004;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0009;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0014;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0017;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0024;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0026;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0031;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0032;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0145;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0187;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0188;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0189;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0190;318217;Rolamento Grae 40;YET 208;YET 208318217;;
0014;356800;ROLAMENTO GRA208300 FRM M;YET 208;YET 208356800;;
0002;42902;ROL YET 207;YET 207;YET 20742902;;
0004;42902;ROL YET 207;YET 207;YET 20742902;;
0009;42902;ROL YET 207;YET 207;YET 20742902;;
0014;42902;ROL YET 207;YET 207;YET 20742902;;
0017;42902;ROL YET 207;YET 207;YET 20742902;;
0022;42902;ROL YET 207;YET 207;YET 20742902;;
0024;42902;ROL YET 207;YET 207;YET 20742902;;
0026;42902;ROL YET 207;YET 207;YET 20742902;;
0029;42902;ROL YET 207;YET 207;YET 20742902;;
0031;42902;ROL YET 207;YET 207;YET 20742902;;
0032;42902;ROL YET 207;YET 207;YET 20742902;;
0145;42902;ROL YET 207;YET 207;YET 20742902;;
0187;42902;ROL YET 207;YET 207;YET 20742902;;
0188;42902;ROL YET 207;YET 207;YET 20742902;;
0189;42902;ROL YET 207;YET 207;YET 20742902;;
0190;42902;ROL YET 207;YET 207;YET 20742902;;
0188;324876;Rolamento Ya Yet207 2Rs1;YET 207;YET 207324876;;
0002;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0004;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0009;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0014;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0017;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0020;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0022;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0024;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0026;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0029;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0031;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0032;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0145;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0175;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0187;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0188;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0189;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0190;3532;ROL GRAE 30 (30 X 80 X 43,7);YET 206;YET 2063532;;
0002;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0004;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0009;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0014;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0017;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0020;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0022;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0024;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0026;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0029;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0031;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0032;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0145;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0186;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0187;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0188;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0189;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0190;4336;ROL GRAE 30 NPPB H 10 11 INA;YET 206;YET 2064336;;
0002;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0004;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0009;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0014;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0017;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0022;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0024;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0026;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0029;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0031;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0032;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0145;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0175;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0187;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0188;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0189;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0190;13863;ROL GRA 206-V22 30X62X35,7;YET 206;YET 20613863;;
0002;54863;ROL YET 206;YET 206;YET 20654863;;
0004;54863;ROL YET 206;YET 206;YET 20654863;;
0009;54863;ROL YET 206;YET 206;YET 20654863;;
0014;54863;ROL YET 206;YET 206;YET 20654863;;
0017;54863;ROL YET 206;YET 206;YET 20654863;;
0022;54863;ROL YET 206;YET 206;YET 20654863;;
0024;54863;ROL YET 206;YET 206;YET 20654863;;
0026;54863;ROL YET 206;YET 206;YET 20654863;;
0029;54863;ROL YET 206;YET 206;YET 20654863;;
0031;54863;ROL YET 206;YET 206;YET 20654863;;
0032;54863;ROL YET 206;YET 206;YET 20654863;;
0145;54863;ROL YET 206;YET 206;YET 20654863;;
0187;54863;ROL YET 206;YET 206;YET 20654863;;
0188;54863;ROL YET 206;YET 206;YET 20654863;;
0189;54863;ROL YET 206;YET 206;YET 20654863;;
0190;54863;ROL YET 206;YET 206;YET 20654863;;
0002;128824;ROL GRAE 206;YET 206;YET 206128824;;
0004;128824;ROL GRAE 206;YET 206;YET 206128824;;
0009;128824;ROL GRAE 206;YET 206;YET 206128824;;
0014;128824;ROL GRAE 206;YET 206;YET 206128824;;
0017;128824;ROL GRAE 206;YET 206;YET 206128824;;
0022;128824;ROL GRAE 206;YET 206;YET 206128824;;
0024;128824;ROL GRAE 206;YET 206;YET 206128824;;
0026;128824;ROL GRAE 206;YET 206;YET 206128824;;
0029;128824;ROL GRAE 206;YET 206;YET 206128824;;
0031;128824;ROL GRAE 206;YET 206;YET 206128824;;
0032;128824;ROL GRAE 206;YET 206;YET 206128824;;
0175;128824;ROL GRAE 206;YET 206;YET 206128824;;
0002;225525;ROL GRA 206-V22 30X62X35.7 (3ø);YET 206;YET 206225525;;
0187;315887;ROLAMENTO ES GRA 208-300 NPP;YET 206;YET 206315887;;
0188;315887;ROLAMENTO ES GRA 208-300 NPP;YET 206;YET 206315887;;
0189;315887;ROLAMENTO ES GRA 208-300 NPP;YET 206;YET 206315887;;
0002;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0004;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0009;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0014;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0017;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0024;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0026;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0031;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0032;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0145;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0187;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0188;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0189;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0190;315911;Rolamento Ya Yet206;YET 206;YET 206315911;;
0017;334633;ROL GRAE 30 IPE KRO 900421918 M;YET 206;YET 206334633;;
0014;356806;ROLAMENTO GRA206 V22 FRM M;YET 206;YET 206356806;;
0002;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0004;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0009;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0014;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0017;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0022;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0024;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0026;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0029;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0031;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0032;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0145;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0187;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0188;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0189;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0190;31194;ROL GRAE 25 NPP FA 106 K 0608 INA;YET 205;YET 20531194;;
0002;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0004;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0009;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0014;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0017;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0022;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0024;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0026;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0029;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0031;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0032;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0145;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0187;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0188;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0189;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0190;62853;ROL GRAE 25 NPPB;YET 205;YET 20562853;;
0002;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0004;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0009;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0014;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0017;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0022;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0024;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0026;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0029;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0031;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0032;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0175;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0187;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0188;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0189;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0190;10270;ROL GRAE 20 B204 V22;YET 204;YET 20410270;;
0002;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0004;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0009;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0014;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0017;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0022;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0024;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0026;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0029;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0031;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0032;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0145;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0187;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0188;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0189;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0190;21032;ROL GRA 204-V22;YET 204;YET 20421032;;
0002;225524;ROL GRA 204-V22 (3ø);YET 204;YET 204225524;;
0002;225526;ROL GRAE 20 B204 V22 (3ø);YET 204;YET 204225526;;
0014;4192;ROL YET 203-010;YET 203;YET 2034192;;
0190;269231;Rolamento YEL211;YEL 211-2F;YEL 211-2F269231;;
0014;353372;ROLAMENTO SKF GE35 KPPB3 M;YEL 211-2F;YEL 211-2F353372;;
0189;353372;ROLAMENTO SKF GE35 KPPB3 M;YEL 211-2F;YEL 211-2F353372;;
0002;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0004;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0009;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0014;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0017;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0022;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0024;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0026;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0029;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0031;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0032;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0145;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0187;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0188;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0189;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0190;19568;ROL EWR 208-40 DI 40 DE 80 L 21;YEL 208-2F;YEL 208-2F19568;;
0002;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0004;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0009;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0014;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0017;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0022;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0024;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0026;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0029;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0031;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0032;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0145;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0187;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0188;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0189;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0190;14226;ROL GE35 KPPB3;YEL 207-2F;YEL 207-2F14226;;
0002;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0004;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0009;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0014;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0017;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0022;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0024;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0026;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0029;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0031;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0032;6660;ROL GNE100KRRB;YEL 205-2F;YEL 205-2F6660;;
0188;326807;ROLAMENTO GE-25UK - ELGES;YEL 205-2F;YEL 205-2F326807;;
0188;317944;ROLAMENTO UC-216;YAR 216-2F;YAR 216-2F317944;;
0002;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0004;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0009;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0014;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0017;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0022;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0024;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0026;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0029;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0031;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0032;4577;ROL UCR 215-700;YAR 215-2F;YAR 215-2F4577;;
0002;27866;ROL ROLMAX UCR 215;YAR 215-2F;YAR 215-2F27866;;
0014;27866;ROL ROLMAX UCR 215;YAR 215-2F;YAR 215-2F27866;;
0022;27866;ROL ROLMAX UCR 215;YAR 215-2F;YAR 215-2F27866;;
0026;27866;ROL ROLMAX UCR 215;YAR 215-2F;YAR 215-2F27866;;
0175;27866;ROL ROLMAX UCR 215;YAR 215-2F;YAR 215-2F27866;;
0187;289895;Rolamento YAR 215;YAR 215-2F;YAR 215-2F289895;;
0188;326000;ROLAMENTO ES UCR 215 (ROLMAX);YAR 215-2F;YAR 215-2F326000;;
0002;21323;ROL ROLMAX UCR 214;YAR 214-2F;YAR 214-2F21323;;
0026;21323;ROL ROLMAX UCR 214;YAR 214-2F;YAR 214-2F21323;;
0029;149511;ROL UC 214 70X125X30MM;YAR 214-2F;YAR 214-2F149511;;
0187;315349;Rolamento YA YAR 214;YAR 214-2F;YAR 214-2F315349;;
0189;315349;Rolamento YA YAR 214;YAR 214-2F;YAR 214-2F315349;;
0014;63244;ROL UC 213 DI 65 DE 120 L 65;YAR 213-2F;YAR 213-2F63244;;
0017;63244;ROL UC 213 DI 65 DE 120 L 65;YAR 213-2F;YAR 213-2F63244;;
0024;63244;ROL UC 213 DI 65 DE 120 L 65;YAR 213-2F;YAR 213-2F63244;;
0175;63244;ROL UC 213 DI 65 DE 120 L 65;YAR 213-2F;YAR 213-2F63244;;
0002;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0004;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0009;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0014;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0017;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0022;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0024;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0026;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0029;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0031;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0032;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0145;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0148;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0187;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0188;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0189;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0190;94507;ROL ROLMAX UCR 213;YAR 213-2F;YAR 213-2F94507;;
0002;5114;ROL UCR 212 DI 60 DE 110 L 22;YAR 212-2F;YAR 212-2F5114;;
0004;5114;ROL UCR 212 DI 60 DE 110 L 22;YAR 212-2F;YAR 212-2F5114;;
0009;5114;ROL UCR 212 DI 60 DE 110 L 22;YAR 212-2F;YAR 212-2F5114;;
0014;5114;ROL UCR 212 DI 60 DE 110 L 22;YAR 212-2F;YAR 212-2F5114;;
